Franchise,Lg,From,To,Yrs,G,W,L,W/L%,Plyfs,Div,Conf,Champ,Active
Memphis Sounds,ABA,1974-75,1974-75,1,84,27,57,0.321,1,0.0,0,0,N
Memphis Tams,ABA,1972-73,1973-74,2,168,45,123,0.268,0,0.0,0,0,N
Memphis Pros,ABA,1970-71,1971-72,2,168,67,101,0.399,1,0.0,0,0,N
New Orleans Buccaneers,ABA,1967-68,1969-70,3,240,136,104,0.567,2,1.0,0,0,N
Pittsburgh Condors,ABA,1967-68,1971-72,5,408,180,228,0.441,2,1.0,0,1,N
Pittsburgh Condors,ABA,1970-71,1971-72,2,168,61,107,0.363,0,0.0,0,0,N
Minnesota Pipers,ABA,1968-69,1968-69,1,78,36,42,0.462,1,0.0,0,0,N
Pittsburgh Pipers,ABA,1967-68,1969-70,2,162,83,79,0.512,1,1.0,0,1,N
Pittsburgh Ironmen,BAA,1946-47,1946-47,1,60,15,45,0.25,0,0.0,0,0,N
Providence Steamrollers,BAA,1946-47,1948-49,3,168,46,122,0.274,0,0.0,0,0,N
San Diego Sails,ABA,1972-73,1975-76,4,263,101,162,0.384,2,0.0,0,0,N
San Diego Sails,ABA,1975-76,1975-76,1,11,3,8,0.273,0,,0,0,N
San Diego Conquistadors,ABA,1972-73,1974-75,3,252,98,154,0.389,2,0.0,0,0,N
Sheboygan Red Skins,NBA,1949-50,1949-50,1,62,22,40,0.355,1,0.0,0,0,N
Spirits of St. Louis,ABA,1967-68,1975-76,9,744,334,410,0.449,5,1.0,0,0,N
Spirits of St. Louis,ABA,1974-75,1975-76,2,168,67,101,0.399,1,0.0,0,0,N
Carolina Cougars,ABA,1969-70,1973-74,5,420,215,205,0.512,3,1.0,0,0,N
Houston Mavericks,ABA,1967-68,1968-69,2,156,52,104,0.333,1,0.0,0,0,N
St. Louis Bombers,NBA/BAA,1946-47,1949-50,4,237,122,115,0.515,3,1.0,0,0,N
The Floridians,ABA,1967-68,1971-72,5,408,189,219,0.463,4,0.0,0,0,N
The Floridians,ABA,1970-71,1971-72,2,168,73,95,0.435,2,0.0,0,0,N
Miami Floridians,ABA,1968-69,1969-70,2,162,66,96,0.407,1,0.0,0,0,N
Minnesota Muskies,ABA,1967-68,1967-68,1,78,50,28,0.641,1,0.0,0,0,N
Toronto Huskies,BAA,1946-47,1946-47,1,60,22,38,0.367,0,0.0,0,0,N
Utah Stars,ABA,1967-68,1975-76,9,676,366,310,0.541,6,3.0,0,1,N
Utah Stars,ABA,1970-71,1975-76,6,436,265,171,0.608,5,3.0,0,1,N
Los Angeles Stars,ABA,1968-69,1969-70,2,162,76,86,0.469,1,0.0,0,0,N
Anaheim Amigos,ABA,1967-68,1967-68,1,78,25,53,0.321,0,0.0,0,0,N
Virginia Squires,ABA,1967-68,1975-76,9,743,326,417,0.439,6,2.0,0,1,N
Virginia Squires,ABA,1970-71,1975-76,6,503,200,303,0.398,4,1.0,0,0,N
Washington Capitols,ABA,1969-70,1969-70,1,84,44,40,0.524,1,0.0,0,0,N
Oakland Oaks,ABA,1967-68,1968-69,2,156,82,74,0.526,1,1.0,0,1,N
Washington Capitols,NBA/BAA,1946-47,1950-51,5,271,157,114,0.579,4,2.0,0,0,N
Waterloo Hawks,NBA,1949-50,1949-50,1,62,19,43,0.306,0,0.0,0,0,N
